Territorio,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,
HASC,Departamento,Feminicidio,Tentativa,Feminicidio,Tentativa,Feminicidio,Tentativa,Feminicidio,Tentativa,Feminicidio,Tentativa,Feminicidio,Tentativa,Feminicidio,Tentativa,Feminicidio,Tentativa
PE.AM,Amazonas,2,1,0,0,2,0,2,1,1,2,0,4,0,13,0,5
PE.AN,Ancash,4,2,8,2,8,3,2,7,4,8,2,4,2,7,3,5
PE.AP,Apurímac,0,0,2,0,0,3,0,0,3,1,0,3,0,2,1,0
PE.AR,Arequipa,8,1,8,9,9,6,4,4,4,3,10,20,14,9,3,8
PE.AY,Ayacucho,11,3,9,3,1,4,5,9,6,5,4,5,4,5,1,5
PE.CJ,Cajamarca,4,0,2,0,0,0,1,6,4,6,1,5,6,5,1,0
PE.CL,Callao,2,3,4,6,3,2,3,1,3,7,3,3,3,10,3,2
PE.CS,Cusco,6,1,6,0,3,2,2,1,6,7,6,16,3,7,3,8
PE.HV,Huancavelica,1,2,1,0,1,0,2,3,2,4,0,3,1,8,0,4
PE.HC,Huánuco,3,2,5,0,3,0,3,5,3,3,2,5,2,10,2,13
PE.IC,Ica,4,2,2,0,2,1,2,8,2,3,1,4,2,9,1,4
PE.JU,Junín,16,3,8,5,7,4,3,11,4,9,4,4,3,11,1,10
PE.LL,La Libertad,3,1,1,3,3,2,4,0,1,8,5,11,2,10,8,4
PE.LB,Lambayeque,7,1,2,3,4,2,4,0,3,0,3,0,1,1,0,0
PE.LR,Lima,48,26,37,9,39,26,27,24,56,57,41,62,31,37,14,36
PE.LO,Loreto,0,2,2,0,0,0,1,2,2,0,2,7,1,10,0,3
PE.MD,Madre De Dios,0,1,1,0,1,0,3,2,0,1,0,1,1,3,1,0
PE.MQ,Moquegua,0,0,1,0,1,1,0,1,0,0,0,0,2,1,2,1
PE.PA,Pasco,2,5,2,1,0,0,1,0,4,8,1,4,2,2,0,1
PE.PI,Piura,1,1,4,1,3,3,2,4,5,6,2,2,4,9,3,1
PE.PU,Puno,7,1,7,2,2,4,3,1,11,5,7,6,3,16,3,1
PE.SM,San Martín,6,3,0,3,0,2,1,0,0,5,1,8,3,6,0,0
PE.TA,Tacna,4,2,1,0,1,0,6,0,6,1,1,2,2,3,3,2
PE.TU,Tumbes,0,1,3,0,0,0,0,0,1,0,0,3,0,1,0,3
PE.UC,Ucayali,0,0,5,0,0,1,2,1,0,2,0,4,3,3,1,2
